SID, 0, cRate, 2, temp, 6
SID, 1, cRate, 124, temp, 60
SID, 0, cRate, 11, temp, 39
SID, 1, cRate, 642, temp, 22
SID, 0, cRate, 5, temp, 6
SID, 1, cRate, 768, temp, 21
SID, 0, cRate, 7, temp, 17
SID, 1, cRate, 257, temp, 48
SID, 0, cRate, 7, temp, 39
SID, 1, cRate, 303, temp, 52
SID, 0, cRate, 0, temp, 13
SID, 1, cRate, 549, temp, 50
SID, 0, cRate, 2, temp, 15
SID, 1, cRate, 591, temp, 31
SID, 0, cRate, 4, temp, 20
SID, 1, cRate, 723, temp, 17
SID, 0, cRate, 1, temp, 14
SID, 1, cRate, 297, temp, 34
SID, 0, cRate, 7, temp, 8
SID, 1, cRate, 74, temp, 26
SID, 0, cRate, 7, temp, 9
SID, 1, cRate, 758, temp, 34
SID, 0, cRate, 9, temp, 12
SID, 1, cRate, 921, temp, 60
SID, 0, cRate, 2, temp, 37
SID, 1, cRate, 900, temp, 0
SID, 0, cRate, 5, temp, 25
SID, 1, cRate, 979, temp, 60
SID, 0, cRate, 4, temp, 28
SID, 1, cRate, 553, temp, 21
SID, 0, cRate, 1, temp, 5
SID, 1, cRate, 941, temp, 26
SID, 0, cRate, 11, temp, 27
SID, 1, cRate, 299, temp, 55
SID, 0, cRate, 2, temp, 21
SID, 1, cRate, 278, temp, 5
SID, 0, cRate, 5, temp, 32
SID, 1, cRate, 825, temp, 19
SID, 0, cRate, 10, temp, 46
SID, 1, cRate, 887, temp, 28
SID, 0, cRate, 3, temp, 36
SID, 1, cRate, 148, temp, 44
SID, 0, cRate, 3, temp, 1
SID, 1, cRate, 818, temp, 41
SID, 0, cRate, 6, temp, 19
SID, 1, cRate, 907, temp, 27
SID, 0, cRate, 10, temp, 35
SID, 1, cRate, 771, temp, 11
SID, 0, cRate, 4, temp, 13
SID, 1, cRate, 493, temp, 62
SID, 0, cRate, 8, temp, 38
SID, 1, cRate, 485, temp, 1
SID, 0, cRate, 8, temp, 21
SID, 1, cRate, 776, temp, 57
SID, 0, cRate, 6, temp, 6
SID, 1, cRate, 533, temp, 5
SID, 0, cRate, 4, temp, 44
SID, 1, cRate, 985, temp, 26
SID, 0, cRate, 1, temp, 28
SID, 1, cRate, 988, temp, 39
SID, 0, cRate, 7, temp, 37
SID, 1, cRate, 277, temp, 28
SID, 0, cRate, 0, temp, 47
SID, 1, cRate, 184, temp, 35
SID, 0, cRate, 0, temp, 16
SID, 1, cRate, 156, temp, 10
SID, 0, cRate, 6, temp, 24
SID, 1, cRate, 393, temp, 34
SID, 0, cRate, 8, temp, 43
SID, 1, cRate, 516, temp, 13
SID, 0, cRate, 4, temp, 2
SID, 1, cRate, 92, temp, 4
SID, 0, cRate, 5, temp, 25
SID, 1, cRate, 978, temp, 29
SID, 0, cRate, 2, temp, 3
SID, 1, cRate, 122, temp, 15
SID, 0, cRate, 0, temp, 34
SID, 1, cRate, 265, temp, 22
SID, 0, cRate, 1, temp, 2
SID, 1, cRate, 351, temp, 1
SID, 0, cRate, 0, temp, 6
SID, 1, cRate, 166, temp, 0
SID, 0, cRate, 6, temp, 12
SID, 1, cRate, 807, temp, 40
SID, 0, cRate, 9, temp, 49
SID, 1, cRate, 688, temp, 3
SID, 0, cRate, 10, temp, 26
SID, 1, cRate, 297, temp, 10
SID, 0, cRate, 11, temp, 47
SID, 1, cRate, 127, temp, 63
SID, 0, cRate, 5, temp, 45
SID, 1, cRate, 331, temp, 49
SID, 0, cRate, 0, temp, 23
SID, 1, cRate, 972, temp, 32
SID, 0, cRate, 11, temp, 45
SID, 1, cRate, 188, temp, 42
SID, 0, cRate, 6, temp, 39
SID, 1, cRate, 571, temp, 34
SID, 0, cRate, 3, temp, 4
SID, 1, cRate, 180, temp, 17
